ts_epoch,Hex,Flight,Lat,Lon,Alt,Track,Speed,Squawk,Messages,Groundspeed,Rate_of_climb,af_category,ts_iso8601
1693090154,a6ff6c,N550AA  ,44.73381,-92.396066,45000,121.1,534.7,2435,1220,534.7,0,A3,2023-08-26T17:49:14-05:00
1693090154,ade191,DAL2992 ,44.867978,-92.447406,18250,274,354.9,3311,642,354.9,-2368,A3,2023-08-26T17:49:14-05:00
1693090154,ac0b96,,0,0,13475,167.2,409.2,,189,409.2,2304,A3,2023-08-26T17:49:14-05:00
1693090154,aaeb1b,GAJ802  ,44.958755,-93.080815,7775,299.4,262.8,3170,1994,262.8,0,A1,2023-08-26T17:49:14-05:00
1693090154,abb839,,44.948959,-92.917916,1800,268.5,116,,537,116,0,,2023-08-26T17:49:14-05:00
1693090154,a44308,DAL1717 ,44.86496,-92.772478,12225,268.7,306.1,2441,2038,306.1,-960,A3,2023-08-26T17:49:14-05:00
1693090154,c058bf,,44.517067,-91.671932,40975,90.2,548,,1179,548,0,A5,2023-08-26T17:49:14-05:00
1693090154,a65a7a,,0,0,0,0,0,1447,1206,0,0,A1,2023-08-26T17:49:14-05:00
1693090154,ad6b0c,,0,0,0,0,0,,424,0,0,A3,2023-08-26T17:49:14-05:00
1693090154,a59d63,ASA281  ,44.606494,-93.246996,34000,298,406.6,1375,1819,406.6,0,A3,2023-08-26T17:49:14-05:00
1693090154,abb6bc,COL854  ,45.003342,-93.202842,6775,297.4,269.3,1037,2719,269.3,-1280,A2,2023-08-26T17:49:14-05:00
1693090184,a2b133,UAL755  ,45.705231,-93.478312,37000,105.2,521.3,6621,93,521.3,0,A3,2023-08-26T17:49:44-05:00
1693090184,acb82c,DAL2034 ,44.854198,-92.203764,22050,279.6,365.1,1364,245,365.1,-1920,A3,2023-08-26T17:49:44-05:00
1693090184,a6dfbf,JIA5588 ,44.763003,-92.947083,8050,111.7,286.3,3630,453,286.3,0,A3,2023-08-26T17:49:44-05:00
1693090184,a9bb53,N726RF  ,45.060837,-93.04694,22175,99.4,495.7,534,368,495.7,0,A2,2023-08-26T17:49:44-05:00
1693090184,ad2baa,JBU96   ,44.44277,-92.59907,35000,102.5,520.4,3515,937,520.4,-64,A3,2023-08-26T17:49:44-05:00
1693090184,a6ff6c,N550AA  ,44.692749,-92.301178,45000,121.3,536.3,2435,1338,536.3,0,A3,2023-08-26T17:49:44-05:00
1693090184,ade191,DAL2992 ,44.869421,-92.50984,17075,267.7,347.3,3311,915,347.3,-3008,A3,2023-08-26T17:49:44-05:00
1693090184,ac0b96,,0,0,14125,167.1,412.4,,194,412.4,2304,A3,2023-08-26T17:49:44-05:00
1693090184,aaeb1b,GAJ802  ,44.978586,-93.128893,7775,300.7,262.7,3170,2077,262.7,0,A1,2023-08-26T17:49:44-05:00
1693090184,abb839,,44.948327,-92.947752,1700,269.5,116,,594,116,0,,2023-08-26T17:49:44-05:00
1693090184,a44308,DAL1717 ,44.874774,-92.828444,11325,293.6,292.4,2441,2292,292.4,-1920,A3,2023-08-26T17:49:44-05:00
1693090184,c058bf,,44.517067,-91.671932,40975,90.2,548,,1183,548,0,A5,2023-08-26T17:49:44-05:00
1693090184,a65a7a,,0,0,0,0,0,1447,1206,0,0,A1,2023-08-26T17:49:44-05:00
1693090184,ad6b0c,,0,0,0,0,0,,424,0,0,A3,2023-08-26T17:49:44-05:00
1693090184,a59d63,ASA281  ,44.62302,-93.316464,34000,288.5,407,1375,1895,407,0,A3,2023-08-26T17:49:44-05:00
1693090184,abb6bc,,45.003342,-93.202842,5900,0,0,1037,2724,0,0,A2,2023-08-26T17:49:44-05:00
1693090215,a2b133,UAL755  ,45.705231,-93.478312,37000,105.2,521.3,6621,94,521.3,0,A3,2023-08-26T17:50:14-05:00
1693090215,acb82c,DAL2034 ,44.857498,-92.25671,21150,274.3,360,1364,347,360,-2432,A3,2023-08-26T17:50:14-05:00
1693090215,a6dfbf,JIA5588 ,44.748734,-92.89529,9325,111,290.3,3630,633,290.3,0,A3,2023-08-26T17:50:14-05:00
1693090215,a9bb53,N726RF  ,45.04953,-92.951137,20875,99.5,501.9,534,552,501.9,0,A2,2023-08-26T17:50:14-05:00
1693090215,ad2baa,JBU96   ,44.422706,-92.4738,35000,102.6,520.6,3515,975,520.6,0,A3,2023-08-26T17:50:14-05:00
1693090215,a6ff6c,N550AA  ,44.654114,-92.212176,45000,121.3,535.8,2435,1474,535.8,-64,A3,2023-08-26T17:50:14-05:00
1693090215,ade191,DAL2992 ,44.868027,-92.58231,15675,269.2,342,3311,1112,342,-2176,A3,2023-08-26T17:50:14-05:00
1693090215,ac0b96,,0,0,14125,167.1,412.4,,194,412.4,2304,A3,2023-08-26T17:50:14-05:00
1693090215,aaeb1b,GAJ802  ,44.991807,-93.160043,7500,301.1,273.2,3170,2106,273.2,0,A1,2023-08-26T17:50:14-05:00
1693090215,abb839,,44.948467,-92.95961,1700,273,115.2,,636,115.2,0,,2023-08-26T17:50:14-05:00
1693090215,a44308,DAL1717 ,44.890695,-92.878418,10225,294,287.9,2441,2517,287.9,-2880,A3,2023-08-26T17:50:14-05:00
1693090215,c058bf,ACA740  ,44.516229,-91.452406,40975,90.4,548,3275,1331,548,0,A5,2023-08-26T17:50:14-05:00
1693090215,a65a7a,,0,0,0,0,0,,1206,0,0,A1,2023-08-26T17:50:14-05:00
